strain	virus	date	country	division	location	host_type	length	lineage	authors	source
MK495309.1	Influenza A virus	2018-12-29	Russia			Homo sapiens	1766	6B.1A.7	Voronina,O.L.	ncbi
MK495317.1	Influenza A virus	2018-12-29	Russia			Homo sapiens	1752	6B.1A.7	Voronina,O.L.	ncbi
MT015450.1	Influenza A virus	2019-12-20	Russia			Homo sapiens	1752	6B.1A.5a	Voronina,O.L.	ncbi
MT015458.1	Influenza A virus	2019-12-24	Russia			Homo sapiens	1752	6B.1A.5a	Voronina,O.L.	ncbi
MN061107.1	Influenza A virus	2019-03-07	Russia			Homo sapiens	1759	6B.1A.7	Voronina,O.L.	ncbi
MW018140.1	Influenza A virus	2019-12-11	Russia			Homo sapiens	1752	6B.1A.5a	Voronina,O.L.	ncbi
MK495285.1	Influenza A virus	2019-01-09	Russia			Homo sapiens	1752	6B.1A.5a	Voronina,O.L.	ncbi
MT015482.1	Influenza A virus	2019-12-10	Russia			Homo sapiens	1752	6B.1A.5a.1	Voronina,O.L.	ncbi
MT015466.1	Influenza A virus	2019-12-20	Russia			Homo sapiens	1752	6B.1A.5a	Voronina,O.L.	ncbi
MT015498.1	Influenza A virus	2019-12-12	Russia			Homo sapiens	1752	6B.1A.5a	Voronina,O.L.	ncbi
MW018141.1	Influenza A virus	2019-12-23	Russia			Homo sapiens	1752	6B.1A.5a	Voronina,O.L.	ncbi
MN061219.1	Influenza A virus	2019-02-26	Russia			Homo sapiens	1768	6B.1A.5a	Voronina,O.L.	ncbi
MT015426.1	Influenza A virus	2019-12-08	Russia			Homo sapiens	1752	6B.1A.5a	Voronina,O.L.	ncbi
MW018142.1	Influenza A virus	2019-12-23	Russia			Homo sapiens	1752	6B.1A.5a	Voronina,O.L.	ncbi
MT015490.1	Influenza A virus	2019-12-02	Russia			Homo sapiens	1752	6B.1A.5a	Voronina,O.L.	ncbi
MN061099.1	Influenza A virus	2019-03-07	Russia			Homo sapiens	1747	6B.1A.5a	Voronina,O.L.	ncbi
MT015410.1	Influenza A virus	2019-12-04	Russia			Homo sapiens	1752	6B.1A.5a	Voronina,O.L.	ncbi
MW018139.1	Influenza A virus	2020-02-12	Russia			Homo sapiens	1752	6B.1A.5a	Voronina,O.L.	ncbi
MW018143.1	Influenza A virus	2020-03-23	Russia			Homo sapiens	1752	6B.1A.5a.1	Voronina,O.L.	ncbi
PZ134621.1	Influenza A virus	2024-11-11	Russia			Homo sapiens	1752	6B.1A.5a.2a	Kolosova,N.P., Bragina,M.K., Panova,A.S., Shadrinova,K.N., Svyatchenko,S.V., Barsukova,E.A., Boldyrev,N.D., Danilenko,A.V., Moiseeva,A., Onkhonova,G.S., Muratova,A.R., Goncharova,N.I., Maksyutova,A.V., Vasiltsova,N., Gudymo,A.S., Danilchenko,N.V., Perfilieva,O.N., Tregubchak,T.V., Bauer,T.V., Sivay,M.V., Maksimenko,L.V., Marchenko,V.Y.	ncbi
PZ134657.1	Influenza A virus	2024-11-11	Russia			Homo sapiens	1701	6B.1A.5a.2a	Kolosova,N.P., Bragina,M.K., Panova,A.S., Shadrinova,K.N., Svyatchenko,S.V., Barsukova,E.A., Boldyrev,N.D., Danilenko,A.V., Moiseeva,A., Onkhonova,G.S., Muratova,A.R., Goncharova,N.I., Maksyutova,A.V., Vasiltsova,N., Gudymo,A.S., Danilchenko,N.V., Perfilieva,O.N., Tregubchak,T.V., Bauer,T.V., Sivay,M.V., Maksimenko,L.V., Marchenko,V.Y.	ncbi
PZ134658.1	Influenza A virus	2024-12-04	Russia			Homo sapiens	1752	6B.1A.5a.2a	Kolosova,N.P., Bragina,M.K., Panova,A.S., Shadrinova,K.N., Svyatchenko,S.V., Barsukova,E.A., Boldyrev,N.D., Danilenko,A.V., Moiseeva,A., Onkhonova,G.S., Muratova,A.R., Goncharova,N.I., Maksyutova,A.V., Vasiltsova,N., Gudymo,A.S., Danilchenko,N.V., Perfilieva,O.N., Tregubchak,T.V., Bauer,T.V., Sivay,M.V., Maksimenko,L.V., Marchenko,V.Y.	ncbi
PZ134659.1	Influenza A virus	2024-11-29	Russia			Homo sapiens	1752	6B.1A.5a.2a	Kolosova,N.P., Bragina,M.K., Panova,A.S., Shadrinova,K.N., Svyatchenko,S.V., Barsukova,E.A., Boldyrev,N.D., Danilenko,A.V., Moiseeva,A., Onkhonova,G.S., Muratova,A.R., Goncharova,N.I., Maksyutova,A.V., Vasiltsova,N., Gudymo,A.S., Danilchenko,N.V., Perfilieva,O.N., Tregubchak,T.V., Bauer,T.V., Sivay,M.V., Maksimenko,L.V., Marchenko,V.Y.	ncbi
PZ134660.1	Influenza A virus	2024-12-14	Russia			Homo sapiens	1752	6B.1A.5a.2a	Kolosova,N.P., Bragina,M.K., Panova,A.S., Shadrinova,K.N., Svyatchenko,S.V., Barsukova,E.A., Boldyrev,N.D., Danilenko,A.V., Moiseeva,A., Onkhonova,G.S., Muratova,A.R., Goncharova,N.I., Maksyutova,A.V., Vasiltsova,N., Gudymo,A.S., Danilchenko,N.V., Perfilieva,O.N., Tregubchak,T.V., Bauer,T.V., Sivay,M.V., Maksimenko,L.V., Marchenko,V.Y.	ncbi
PZ134661.1	Influenza A virus	2024-12-16	Russia			Homo sapiens	1752	6B.1A.5a.2a	Kolosova,N.P., Bragina,M.K., Panova,A.S., Shadrinova,K.N., Svyatchenko,S.V., Barsukova,E.A., Boldyrev,N.D., Danilenko,A.V., Moiseeva,A., Onkhonova,G.S., Muratova,A.R., Goncharova,N.I., Maksyutova,A.V., Vasiltsova,N., Gudymo,A.S., Danilchenko,N.V., Perfilieva,O.N., Tregubchak,T.V., Bauer,T.V., Sivay,M.V., Maksimenko,L.V., Marchenko,V.Y.	ncbi
PZ134662.1	Influenza A virus	2024-10-21	Russia			Homo sapiens	1701	6B.1A.5a.2a	Kolosova,N.P., Bragina,M.K., Panova,A.S., Shadrinova,K.N., Svyatchenko,S.V., Barsukova,E.A., Boldyrev,N.D., Danilenko,A.V., Moiseeva,A., Onkhonova,G.S., Muratova,A.R., Goncharova,N.I., Maksyutova,A.V., Vasiltsova,N., Gudymo,A.S., Danilchenko,N.V., Perfilieva,O.N., Tregubchak,T.V., Bauer,T.V., Sivay,M.V., Maksimenko,L.V., Marchenko,V.Y.	ncbi
PZ134674.1	Influenza A virus	2024-12-23	Russia			Homo sapiens	1701	6B.1A.5a.2a	Kolosova,N.P., Bragina,M.K., Panova,A.S., Shadrinova,K.N., Svyatchenko,S.V., Barsukova,E.A., Boldyrev,N.D., Danilenko,A.V., Moiseeva,A., Onkhonova,G.S., Muratova,A.R., Goncharova,N.I., Maksyutova,A.V., Vasiltsova,N., Gudymo,A.S., Danilchenko,N.V., Perfilieva,O.N., Tregubchak,T.V., Bauer,T.V., Sivay,M.V., Maksimenko,L.V., Marchenko,V.Y.	ncbi
PZ134667.1	Influenza A virus	2025-03-24	Russia			Homo sapiens	1701	6B.1A.5a.2a	Kolosova,N.P., Bragina,M.K., Panova,A.S., Shadrinova,K.N., Svyatchenko,S.V., Barsukova,E.A., Boldyrev,N.D., Danilenko,A.V., Moiseeva,A., Onkhonova,G.S., Muratova,A.R., Goncharova,N.I., Maksyutova,A.V., Vasiltsova,N., Gudymo,A.S., Danilchenko,N.V., Perfilieva,O.N., Tregubchak,T.V., Bauer,T.V., Sivay,M.V., Maksimenko,L.V., Marchenko,V.Y.	ncbi
PZ134668.1	Influenza A virus	2025-02-11	Russia			Homo sapiens	1763	6B.1A.5a.2a	Kolosova,N.P., Bragina,M.K., Panova,A.S., Shadrinova,K.N., Svyatchenko,S.V., Barsukova,E.A., Boldyrev,N.D., Danilenko,A.V., Moiseeva,A., Onkhonova,G.S., Muratova,A.R., Goncharova,N.I., Maksyutova,A.V., Vasiltsova,N., Gudymo,A.S., Danilchenko,N.V., Perfilieva,O.N., Tregubchak,T.V., Bauer,T.V., Sivay,M.V., Maksimenko,L.V., Marchenko,V.Y.	ncbi
PZ134647.1	Influenza A virus	2025-01-14	Russia			Homo sapiens	1701	6B.1A.5a.2a	Kolosova,N.P., Bragina,M.K., Panova,A.S., Shadrinova,K.N., Svyatchenko,S.V., Barsukova,E.A., Boldyrev,N.D., Danilenko,A.V., Moiseeva,A., Onkhonova,G.S., Muratova,A.R., Goncharova,N.I., Maksyutova,A.V., Vasiltsova,N., Gudymo,A.S., Danilchenko,N.V., Perfilieva,O.N., Tregubchak,T.V., Bauer,T.V., Sivay,M.V., Maksimenko,L.V., Marchenko,V.Y.	ncbi
PZ134648.1	Influenza A virus	2025-01-23	Russia			Homo sapiens	1701	6B.1A.5a.2a	Kolosova,N.P., Bragina,M.K., Panova,A.S., Shadrinova,K.N., Svyatchenko,S.V., Barsukova,E.A., Boldyrev,N.D., Danilenko,A.V., Moiseeva,A., Onkhonova,G.S., Muratova,A.R., Goncharova,N.I., Maksyutova,A.V., Vasiltsova,N., Gudymo,A.S., Danilchenko,N.V., Perfilieva,O.N., Tregubchak,T.V., Bauer,T.V., Sivay,M.V., Maksimenko,L.V., Marchenko,V.Y.	ncbi
PZ134672.1	Influenza A virus	2025-03-28	Russia			Homo sapiens	1701	6B.1A.5a.2a	Kolosova,N.P., Bragina,M.K., Panova,A.S., Shadrinova,K.N., Svyatchenko,S.V., Barsukova,E.A., Boldyrev,N.D., Danilenko,A.V., Moiseeva,A., Onkhonova,G.S., Muratova,A.R., Goncharova,N.I., Maksyutova,A.V., Vasiltsova,N., Gudymo,A.S., Danilchenko,N.V., Perfilieva,O.N., Tregubchak,T.V., Bauer,T.V., Sivay,M.V., Maksimenko,L.V., Marchenko,V.Y.	ncbi
PZ134663.1	Influenza A virus	2025-01-23	Russia			Homo sapiens	1760	6B.1A.5a.2a	Kolosova,N.P., Bragina,M.K., Panova,A.S., Shadrinova,K.N., Svyatchenko,S.V., Barsukova,E.A., Boldyrev,N.D., Danilenko,A.V., Moiseeva,A., Onkhonova,G.S., Muratova,A.R., Goncharova,N.I., Maksyutova,A.V., Vasiltsova,N., Gudymo,A.S., Danilchenko,N.V., Perfilieva,O.N., Tregubchak,T.V., Bauer,T.V., Sivay,M.V., Maksimenko,L.V., Marchenko,V.Y.	ncbi
PZ134670.1	Influenza A virus	2025-02-11	Russia			Homo sapiens	1762	6B.1A.5a.2a	Kolosova,N.P., Bragina,M.K., Panova,A.S., Shadrinova,K.N., Svyatchenko,S.V., Barsukova,E.A., Boldyrev,N.D., Danilenko,A.V., Moiseeva,A., Onkhonova,G.S., Muratova,A.R., Goncharova,N.I., Maksyutova,A.V., Vasiltsova,N., Gudymo,A.S., Danilchenko,N.V., Perfilieva,O.N., Tregubchak,T.V., Bauer,T.V., Sivay,M.V., Maksimenko,L.V., Marchenko,V.Y.	ncbi
PZ134626.1	Influenza A virus	2025-03-31	Russia			Homo sapiens	1701	6B.1A.5a.2a	Kolosova,N.P., Bragina,M.K., Panova,A.S., Shadrinova,K.N., Svyatchenko,S.V., Barsukova,E.A., Boldyrev,N.D., Danilenko,A.V., Moiseeva,A., Onkhonova,G.S., Muratova,A.R., Goncharova,N.I., Maksyutova,A.V., Vasiltsova,N., Gudymo,A.S., Danilchenko,N.V., Perfilieva,O.N., Tregubchak,T.V., Bauer,T.V., Sivay,M.V., Maksimenko,L.V., Marchenko,V.Y.	ncbi
PZ134634.1	Influenza A virus	2025-03-21	Russia			Homo sapiens	1701	6B.1A.5a.2a	Kolosova,N.P., Bragina,M.K., Panova,A.S., Shadrinova,K.N., Svyatchenko,S.V., Barsukova,E.A., Boldyrev,N.D., Danilenko,A.V., Moiseeva,A., Onkhonova,G.S., Muratova,A.R., Goncharova,N.I., Maksyutova,A.V., Vasiltsova,N., Gudymo,A.S., Danilchenko,N.V., Perfilieva,O.N., Tregubchak,T.V., Bauer,T.V., Sivay,M.V., Maksimenko,L.V., Marchenko,V.Y.	ncbi
PZ134630.1	Influenza A virus	2025-03-21	Russia			Homo sapiens	1701	6B.1A.5a.2a	Kolosova,N.P., Bragina,M.K., Panova,A.S., Shadrinova,K.N., Svyatchenko,S.V., Barsukova,E.A., Boldyrev,N.D., Danilenko,A.V., Moiseeva,A., Onkhonova,G.S., Muratova,A.R., Goncharova,N.I., Maksyutova,A.V., Vasiltsova,N., Gudymo,A.S., Danilchenko,N.V., Perfilieva,O.N., Tregubchak,T.V., Bauer,T.V., Sivay,M.V., Maksimenko,L.V., Marchenko,V.Y.	ncbi
PZ134625.1	Influenza A virus	2025-03-31	Russia			Homo sapiens	1701	6B.1A.5a.2a	Kolosova,N.P., Bragina,M.K., Panova,A.S., Shadrinova,K.N., Svyatchenko,S.V., Barsukova,E.A., Boldyrev,N.D., Danilenko,A.V., Moiseeva,A., Onkhonova,G.S., Muratova,A.R., Goncharova,N.I., Maksyutova,A.V., Vasiltsova,N., Gudymo,A.S., Danilchenko,N.V., Perfilieva,O.N., Tregubchak,T.V., Bauer,T.V., Sivay,M.V., Maksimenko,L.V., Marchenko,V.Y.	ncbi
PZ134628.1	Influenza A virus	2025-03-21	Russia			Homo sapiens	1701	6B.1A.5a.2a	Kolosova,N.P., Bragina,M.K., Panova,A.S., Shadrinova,K.N., Svyatchenko,S.V., Barsukova,E.A., Boldyrev,N.D., Danilenko,A.V., Moiseeva,A., Onkhonova,G.S., Muratova,A.R., Goncharova,N.I., Maksyutova,A.V., Vasiltsova,N., Gudymo,A.S., Danilchenko,N.V., Perfilieva,O.N., Tregubchak,T.V., Bauer,T.V., Sivay,M.V., Maksimenko,L.V., Marchenko,V.Y.	ncbi
PZ134646.1	Influenza A virus	2025-01-21	Russia			Homo sapiens	1701	6B.1A.5a.2a	Kolosova,N.P., Bragina,M.K., Panova,A.S., Shadrinova,K.N., Svyatchenko,S.V., Barsukova,E.A., Boldyrev,N.D., Danilenko,A.V., Moiseeva,A., Onkhonova,G.S., Muratova,A.R., Goncharova,N.I., Maksyutova,A.V., Vasiltsova,N., Gudymo,A.S., Danilchenko,N.V., Perfilieva,O.N., Tregubchak,T.V., Bauer,T.V., Sivay,M.V., Maksimenko,L.V., Marchenko,V.Y.	ncbi
PZ134654.1	Influenza A virus	2025-01-09	Russia			Homo sapiens	1701	6B.1A.5a.2a	Kolosova,N.P., Bragina,M.K., Panova,A.S., Shadrinova,K.N., Svyatchenko,S.V., Barsukova,E.A., Boldyrev,N.D., Danilenko,A.V., Moiseeva,A., Onkhonova,G.S., Muratova,A.R., Goncharova,N.I., Maksyutova,A.V., Vasiltsova,N., Gudymo,A.S., Danilchenko,N.V., Perfilieva,O.N., Tregubchak,T.V., Bauer,T.V., Sivay,M.V., Maksimenko,L.V., Marchenko,V.Y.	ncbi
PZ134641.1	Influenza A virus	2025-02-27	Russia			Homo sapiens	1701	6B.1A.5a.2a	Kolosova,N.P., Bragina,M.K., Panova,A.S., Shadrinova,K.N., Svyatchenko,S.V., Barsukova,E.A., Boldyrev,N.D., Danilenko,A.V., Moiseeva,A., Onkhonova,G.S., Muratova,A.R., Goncharova,N.I., Maksyutova,A.V., Vasiltsova,N., Gudymo,A.S., Danilchenko,N.V., Perfilieva,O.N., Tregubchak,T.V., Bauer,T.V., Sivay,M.V., Maksimenko,L.V., Marchenko,V.Y.	ncbi
KY681561.1	Influenza A virus (A/Saudi Arabia/11/2015(H1N1))	2015-09-22	Saudi Arabia			Homo sapiens	1701	6B.1	Cobbin,J.C.A., Alfelali,M., Barasheed,O., Taylor,J., Dwyer,D.E., Booy,R., Holmes,E.C., Rashid,H.	ncbi
MK246045.1	Influenza A virus	2015-02-15	Saudi Arabia			Homo sapiens	1701	6B.1	Alosaimi,B., Naeem,A., Alsaran,H., Enani,M.	ncbi
MK246080.1	Influenza A virus	2015-04-15	Saudi Arabia			Homo sapiens	1701	6B	Alosaimi,B., Naeem,A., Alsaran,H., Enani,M.	ncbi
MK246079.1	Influenza A virus	2015-03-25	Saudi Arabia			Homo sapiens	1701	6B	Alosaimi,B., Naeem,A., Alsaran,H., Enani,M.	ncbi
MK246068.1	Influenza A virus	2015-02-07	Saudi Arabia			Homo sapiens	1701	6B	Alosaimi,B., Naeem,A., Alsaran,H., Enani,M.	ncbi
MK246060.1	Influenza A virus	2015-03-11	Saudi Arabia			Homo sapiens	1701	6B	Alosaimi,B., Naeem,A., Alsaran,H., Enani,M.	ncbi
MF768835.1	Influenza A virus (A/Jeddah/KFAFH1851/2015(H1N1))	2015-11-07	Saudi Arabia			Homo sapiens	1701	6B.1	Hashem,A., Azhar,E., Shalhoub,S., Abujamel,T., Othman,N., Al Zahrani,A., Hanan,A., Alawi,M., Sindi,A.	ncbi
KX458011.1	Influenza A virus (A/Saudi Arabia/Tu-1/2015(H1N1))	2015-11-24	Saudi Arabia			Homo sapiens	1711	6B.1	Alghamdi,A.N., Mahfouz,M.E., Hamdi,F.A., Al Aboud,D., Al-laylah,T.Z., Alotaibi,M.I., Al-Thomali,K.W.A., Abdel-Moneim,A.S.	ncbi
MK246062.1	Influenza A virus	2015-03-16	Saudi Arabia			Homo sapiens	1701	6B	Alosaimi,B., Naeem,A., Alsaran,H., Enani,M.	ncbi
MK246025.1	Influenza A virus	2015-10-31	Saudi Arabia			Homo sapiens	1701	6B.1	Alosaimi,B., Naeem,A., Alsaran,H., Enani,M.	ncbi
MK246015.1	Influenza A virus	2015-09-10	Saudi Arabia			Homo sapiens	1701	6B.2	Alosaimi,B., Naeem,A., Alsaran,H., Enani,M.	ncbi
MK246033.1	Influenza A virus	2015-10-23	Saudi Arabia			Homo sapiens	1701	6B.1	Alosaimi,B., Naeem,A., Alsaran,H., Enani,M.	ncbi
MK246046.1	Influenza A virus	2015-04-02	Saudi Arabia			Homo sapiens	1701	6B	Alosaimi,B., Naeem,A., Alsaran,H., Enani,M.	ncbi
MF768779.1	Influenza A virus (A/Jeddah/KFAFH1507/2015(H1N1))	2015-11-06	Saudi Arabia			Homo sapiens	1701	6B.1	Hashem,A., Azhar,E., Shalhoub,S., Abujamel,T., Othman,N., Al Zahrani,A., Hanan,A., Alawi,M., Sindi,A.	ncbi
MF768851.1	Influenza A virus (A/Jeddah/KFAFH3389/2015(H1N1))	2015-11-08	Saudi Arabia			Homo sapiens	1701	6B.1	Hashem,A., Azhar,E., Shalhoub,S., Abujamel,T., Othman,N., Al Zahrani,A., Hanan,A., Alawi,M., Sindi,A.	ncbi
OR272092.1	Influenza A virus	2016-12-23	Saudi Arabia			Homo sapiens	1701	6B.1	Aziz,I.M., Almajhdi,F.	ncbi
OR272094.1	Influenza A virus	2017-06-25	Saudi Arabia			Homo sapiens	1701	6B.1A	Aziz,I.M., Almajhdi,F.	ncbi
OR272095.1	Influenza A virus	2017-12-10	Saudi Arabia			Homo sapiens	1701	6B.1A	Aziz,I.M., Almajhdi,F.	ncbi
OR272096.1	Influenza A virus	2017-12-12	Saudi Arabia			Homo sapiens	1701	6B.1A	Aziz,I.M., Almajhdi,F.	ncbi
OR272093.1	Influenza A virus	2020-12-13	Saudi Arabia			Homo sapiens	1701	6B.1	Aziz,I.M., Almajhdi,F.	ncbi
OR272097.1	Influenza A virus	2020-12-23	Saudi Arabia			Homo sapiens	1701	6B.1A.5a	Aziz,I.M., Almajhdi,F.	ncbi
OR272098.1	Influenza A virus	2020-12-09	Saudi Arabia			Homo sapiens	1701	6B.1A.5a	Aziz,I.M., Almajhdi,F.	ncbi
OR272099.1	Influenza A virus	2020-12-09	Saudi Arabia			Homo sapiens	1701	6B.1A.5a	Aziz,I.M., Almajhdi,F.	ncbi
PX487272.1	Influenza A virus	2021-11-22	Saudi Arabia			Homo sapiens	1701	6B.1	Aziz,I.M., Aljowaie,R.M., Farrag,M.A., Almajhdi,F.N.	ncbi
PX487273.1	Influenza A virus	2021-11-25	Saudi Arabia			Homo sapiens	1701	6B.1	Aziz,I.M., Aljowaie,R.M., Farrag,M.A., Almajhdi,F.N.	ncbi
PX487274.1	Influenza A virus	2021-12-19	Saudi Arabia			Homo sapiens	1701	6B.1A	Aziz,I.M., Aljowaie,R.M., Farrag,M.A., Almajhdi,F.N.	ncbi
PX487275.1	Influenza A virus	2022-01-24	Saudi Arabia			Homo sapiens	1701	6B.1	Aziz,I.M., Aljowaie,R.M., Farrag,M.A., Almajhdi,F.N.	ncbi
PX487276.1	Influenza A virus	2022-01-24	Saudi Arabia			Homo sapiens	1701	6B.1A	Aziz,I.M., Aljowaie,R.M., Farrag,M.A., Almajhdi,F.N.	ncbi
PX487277.1	Influenza A virus	2022-01-17	Saudi Arabia			Homo sapiens	1701	6B.1	Aziz,I.M., Aljowaie,R.M., Farrag,M.A., Almajhdi,F.N.	ncbi
PX487278.1	Influenza A virus	2022-02-20	Saudi Arabia			Homo sapiens	1701	6B.1A.5a	Aziz,I.M., Aljowaie,R.M., Farrag,M.A., Almajhdi,F.N.	ncbi
PX487279.1	Influenza A virus	2022-11-14	Saudi Arabia			Homo sapiens	1701	6B.1A.5a	Aziz,I.M., Aljowaie,R.M., Farrag,M.A., Almajhdi,F.N.	ncbi
PX487280.1	Influenza A virus	2023-01-15	Saudi Arabia			Homo sapiens	1701	6B.1A.5a.2a	Aziz,I.M., Aljowaie,R.M., Farrag,M.A., Almajhdi,F.N.	ncbi
PX487281.1	Influenza A virus	2023-02-20	Saudi Arabia			Homo sapiens	1701	6B.1A.5a	Aziz,I.M., Aljowaie,R.M., Farrag,M.A., Almajhdi,F.N.	ncbi
PX487282.1	Influenza A virus	2023-11-08	Saudi Arabia			Homo sapiens	1701	6B.1A.5a.2a	Aziz,I.M., Aljowaie,R.M., Farrag,M.A., Almajhdi,F.N.	ncbi
PX487283.1	Influenza A virus	2023-11-09	Saudi Arabia			Homo sapiens	1701	6B.1A.5a.2	Aziz,I.M., Aljowaie,R.M., Farrag,M.A., Almajhdi,F.N.	ncbi
PX487284.1	Influenza A virus	2023-11-15	Saudi Arabia			Homo sapiens	1701	6B.1A.5a.2	Aziz,I.M., Aljowaie,R.M., Farrag,M.A., Almajhdi,F.N.	ncbi
PX487285.1	Influenza A virus	2023-11-27	Saudi Arabia			Homo sapiens	1701	6B.1A.5a	Aziz,I.M., Aljowaie,R.M., Farrag,M.A., Almajhdi,F.N.	ncbi
PV652976.1	Influenza A virus	2024-02-26	Saudi Arabia			Homo sapiens	1701	6B.1A.5a.2a	Abdulgader,S.A., Aziz,I.M., Almajhdi,F.N., Abdulwahed,A., Almuqrin,A.M.	ncbi
PV652977.1	Influenza A virus	2024-02-26	Saudi Arabia			Homo sapiens	1701	6B.1A.5a.2a	Abdulgader,S.A., Aziz,I.M., Almajhdi,F.N., Abdulwahed,A., Almuqrin,A.M.	ncbi
PV652978.1	Influenza A virus	2024-02-26	Saudi Arabia			Homo sapiens	1701	6B.1A.5a.2	Abdulgader,S.A., Aziz,I.M., Almajhdi,F.N., Abdulwahed,A., Almuqrin,A.M.	ncbi
PV652979.1	Influenza A virus	2024-12-20	Saudi Arabia			Homo sapiens	1701	6B.1A.5a.2a	Abdulgader,S.A., Aziz,I.M., Almajhdi,F.N., Abdulwahed,A., Almuqrin,A.M.	ncbi
PV652980.1	Influenza A virus	2024-12-23	Saudi Arabia			Homo sapiens	1701	6B.1A.5a.2a	Abdulgader,S.A., Aziz,I.M., Almajhdi,F.N., Abdulwahed,A., Almuqrin,A.M.	ncbi
PV652981.1	Influenza A virus	2025-01-01	Saudi Arabia			Homo sapiens	1701	6B.1A.5a.2a	Abdulgader,S.A., Aziz,I.M., Almajhdi,F.N., Abdulwahed,A., Almuqrin,A.M.	ncbi
PV652982.1	Influenza A virus	2025-01-20	Saudi Arabia			Homo sapiens	1701	6B.1A.5a.2a	Abdulgader,S.A., Aziz,I.M., Almajhdi,F.N., Abdulwahed,A., Almuqrin,A.M.	ncbi
OR074270.1	Influenza A virus	2021-09-25	Senegal			Homo sapiens	1687	6B.1A.5a.1	Beye,M., Goumbala,N.	ncbi
OR074271.1	Influenza A virus	2021-09-25	Senegal			Homo sapiens	1686	6B.1A.5a.1	Beye,M., Goumbala,N.	ncbi
OR074279.1	Influenza A virus	2021-09-28	Senegal			Homo sapiens	1687	6B.1A.5a.1	Beye,M., Goumbala,N.	ncbi
OR074262.1	Influenza A virus	2021-09-24	Senegal			Homo sapiens	1692	6B.1A.5a.1	Beye,M., Goumbala,N.	ncbi
OR074287.1	Influenza A virus	2021-10-05	Senegal			Homo sapiens	1686	6B.1A.5a.1	Beye,M., Goumbala,N.	ncbi
OR074274.1	Influenza A virus	2021-09-27	Senegal			Homo sapiens	1687	6B.1A.5a.1	Beye,M., Goumbala,N.	ncbi
OR074272.1	Influenza A virus	2021-09-26	Senegal			Homo sapiens	1687	6B.1A.5a.1	Beye,M., Goumbala,N.	ncbi
OR074276.1	Influenza A virus	2021-09-27	Senegal			Homo sapiens	1687	6B.1A.5a.1	Beye,M., Goumbala,N.	ncbi
OR074263.1	Influenza A virus	2021-09-25	Senegal			Homo sapiens	1686	6B.1A.5a.1	Beye,M., Goumbala,N.	ncbi
OR074286.1	Influenza A virus	2021-10-04	Senegal			Homo sapiens	1686	6B.1A.5a.1	Beye,M., Goumbala,N.	ncbi
OR074267.1	Influenza A virus	2021-09-24	Senegal			Homo sapiens	1687	6B.1A.5a.1	Beye,M., Goumbala,N.	ncbi
OR074264.1	Influenza A virus	2021-09-11	Senegal			Homo sapiens	1687	6B.1A.5a.1	Beye,M., Goumbala,N.	ncbi
OR074275.1	Influenza A virus	2021-09-27	Senegal			Homo sapiens	1686	6B.1A.5a.1	Beye,M., Goumbala,N.	ncbi
OR074278.1	Influenza A virus	2021-09-27	Senegal			Homo sapiens	1686	6B.1A.5a.1	Beye,M., Goumbala,N.	ncbi
OR074265.1	Influenza A virus	2021-09-27	Senegal			Homo sapiens	1687	6B.1A.5a.1	Beye,M., Goumbala,N.	ncbi
PQ344951.1	Influenza A virus	2023-08-23	Senegal			Homo sapiens	1701	6B.1A.5a.2a	Ndiaye,A.J.S., Beye,M., Kacel,I., Bossi,V., Leye,N., Padane,A., Diop-Ndiaye,H., Toure-Kane,C., Diagne,N.R., Sokhna,C., Mboup,S., Fournier,P.-E.	ncbi
MK453366.1	Influenza A virus	2016-08-18	Serbia			Sus scrofa	1701	1	Maksimovic Zoric,J., Milicevic,V., Stevancevic,O., Chiapponi,C., Potkonjak,A., Stojanac,N., Kureljusic,B., Veljovic,L., Radosavljevic,V., Savic,B.	ncbi
MK453365.1	Influenza A virus	2017-03-02	Serbia			Sus scrofa	1701	1	Maksimovic Zoric,J., Milicevic,V., Stevancevic,O., Chiapponi,C., Potkonjak,A., Stojanac,N., Kureljusic,B., Veljovic,L., Radosavljevic,V., Savic,B.	ncbi
MK453369.1	Influenza A virus	2017-12-07	Serbia			Sus scrofa	1694	1	Maksimovic Zoric,J., Milicevic,V., Stevancevic,O., Chiapponi,C., Potkonjak,A., Stojanac,N., Kureljusic,B., Veljovic,L., Radosavljevic,V., Savic,B.	ncbi
MK905271.1	Influenza A virus	2019-01-30	Singapore			Homo sapiens	1752	6B.1A.5a	Falgout,C.R., Koster,B.L., Balansay-Ames,M.S., Graf,P.C., Myers,C.A.	ncbi
PX835892.1	Influenza A virus	2023-09-21	South Africa			Homo sapiens	1701	6B.1A.5a.2a.1	Lauring,A.S., Papalambros,L., Fitzsimmons,W.J., Bendall,E., Hurt,A., Berisha,E., Wildum,S.	ncbi
PX835911.1	Influenza A virus	2023-09-22	South Africa			Homo sapiens	1701	6B.1A.5a.2a.1	Lauring,A.S., Papalambros,L., Fitzsimmons,W.J., Bendall,E., Hurt,A., Berisha,E., Wildum,S.	ncbi
PX835879.1	Influenza A virus	2024-05-06	South Africa			Homo sapiens	1701	6B.1A.5a.2a	Lauring,A.S., Papalambros,L., Fitzsimmons,W.J., Bendall,E., Hurt,A., Berisha,E., Wildum,S.	ncbi
